user_id,ad_id,device,location,weekday,month,hour,clicked,converted
6,11,mobile,US,2,7,16,0,0
6,16,desktop,EU,1,12,4,0,0
6,18,mobile,EU,5,7,10,0,0
6,15,tablet,US,3,11,23,0,0
6,9,mobile,US,2,5,17,1,0
6,10,desktop,EU,6,12,15,1,1
6,9,mobile,EU,5,7,12,1,0
6,5,mobile,US,6,2,11,0,0
7,9,desktop,US,7,9,8,0,0
7,9,mobile,EU,5,4,7,1,0
7,8,mobile,US,4,6,22,0,0
7,5,mobile,EU,2,7,20,0,0
7,16,mobile,US,3,6,9,1,0
7,3,mobile,US,6,12,1,0,0
7,6,mobile,Asia,1,7,15,0,0
7,10,desktop,US,5,10,3,0,0
7,11,mobile,Asia,5,9,15,0,0
7,5,desktop,US,2,2,10,0,0
7,15,mobile,EU,1,12,10,1,0
7,7,mobile,Asia,4,7,16,0,0
7,13,mobile,US,2,8,10,0,0
7,1,mobile,US,7,5,10,0,0
7,19,mobile,EU,6,4,1,1,0
7,6,mobile,EU,6,5,22,0,0
7,10,mobile,US,2,8,4,0,0
7,20,mobile,EU,4,9,21,1,0
7,20,desktop,US,4,9,22,1,0
7,4,mobile,EU,5,4,18,0,0
7,6,mobile,EU,1,11,6,0,0
7,16,mobile,EU,7,1,14,1,0
7,19,mobile,US,7,5,23,1,1
7,1,desktop,EU,1,7,11,0,0
7,18,tablet,Asia,1,8,1,1,1
7,5,desktop,Asia,6,7,11,0,0
7,13,mobile,Asia,4,7,2,0,0
7,18,mobile,Asia,1,3,17,1,1
7,8,desktop,EU,3,8,21,0,0
7,14,mobile,Asia,2,8,11,0,0
7,7,tablet,EU,1,1,21,0,0
7,1,mobile,US,5,1,14,0,0
7,2,mobile,US,4,4,17,0,0
7,2,mobile,Asia,2,12,18,0,0
7,20,desktop,Asia,2,5,4,0,0
7,17,mobile,US,1,9,18,1,0
7,14,mobile,US,3,11,21,0,0
7,17,mobile,US,2,5,12,1,0
7,8,desktop,US,6,3,14,0,0
7,18,mobile,US,5,3,12,1,1
7,3,tablet,Asia,1,9,23,0,0
7,2,mobile,EU,5,1,2,0,0
7,19,desktop,EU,4,4,10,1,0
7,7,tablet,Asia,1,12,15,0,0
7,20,desktop,US,2,9,10,0,0
7,13,mobile,EU,3,5,11,0,0
7,16,mobile,Asia,6,8,10,1,0
7,14,mobile,Asia,6,3,0,0,0
7,19,mobile,US,2,4,10,1,0
7,8,mobile,EU,6,6,8,0,0
8,16,tablet,EU,4,8,5,0,0
8,12,mobile,EU,4,3,17,0,0
8,2,mobile,Asia,1,11,1,0,0
8,14,mobile,EU,1,12,4,1,0
8,12,mobile,EU,5,8,21,0,0
8,1,mobile,US,1,9,23,0,0
8,10,mobile,Asia,6,7,5,0,0
8,4,mobile,US,5,9,8,0,0
8,9,desktop,US,4,8,18,0,0
8,8,mobile,Asia,1,11,20,0,0
8,3,mobile,US,4,1,20,1,0
8,16,desktop,EU,3,10,3,0,0
8,2,mobile,Asia,6,10,15,0,0
8,3,mobile,US,5,10,21,1,0
8,11,mobile,US,2,12,12,0,0
8,10,mobile,US,7,7,21,0,0
8,11,mobile,EU,7,12,23,1,0
8,12,mobile,US,7,2,10,0,0
8,20,tablet,US,7,6,0,1,0
8,15,mobile,US,4,7,5,1,0
8,3,desktop,US,2,12,2,0,0
8,5,mobile,EU,2,12,12,0,0
8,4,mobile,Asia,4,6,8,0,0
8,3,mobile,US,5,9,13,0,0
8,3,mobile,US,5,6,12,1,0
8,3,desktop,EU,2,10,16,0,0
8,13,mobile,US,3,8,4,1,0
8,14,mobile,EU,3,5,7,0,0
8,16,mobile,US,1,3,9,1,1
8,20,mobile,Asia,4,6,13,1,0
8,20,mobile,US,6,4,15,1,0
8,11,mobile,EU,4,10,7,0,0
8,9,desktop,US,1,10,6,0,0
8,18,mobile,EU,1,12,14,1,1
8,10,desktop,US,7,7,21,0,0
8,10,mobile,EU,6,7,12,1,0
8,16,mobile,EU,7,12,13,1,0
8,12,desktop,Asia,5,11,2,0,0
8,8,mobile,US,6,10,1,0,0
8,13,tablet,US,7,7,3,1,0
8,17,desktop,EU,6,10,7,1,1
8,19,mobile,US,1,8,3,1,0
8,3,mobile,Asia,2,6,9,0,0
8,7,mobile,US,1,8,23,0,0
8,11,mobile,US,6,2,0,0,0
8,4,mobile,US,6,4,16,0,0
8,6,mobile,US,4,4,12,0,0
8,6,mobile,US,1,12,19,0,0
8,15,mobile,US,6,4,6,1,0
8,3,mobile,EU,5,3,11,0,0
9,15,mobile,EU,4,9,20,1,1
9,13,mobile,US,7,8,19,0,0
9,10,tablet,EU,6,3,10,0,0
9,10,mobile,US,2,9,12,0,0
9,5,mobile,US,4,11,17,0,0
9,6,mobile,US,2,3,10,0,0
9,20,mobile,US,1,8,4,1,1
9,18,mobile,US,6,8,13,1,1
9,6,mobile,US,7,4,9,1,0
9,10,mobile,US,6,8,17,0,0
9,19,mobile,EU,7,6,17,1,1
9,15,mobile,Asia,1,12,20,1,1
9,2,mobile,US,7,2,14,0,0
9,4,desktop,US,7,12,18,0,0
9,20,mobile,US,2,4,6,0,0
9,19,mobile,US,5,3,10,1,1
9,19,mobile,Asia,6,2,4,1,0
9,2,tablet,Asia,2,12,4,0,0
9,11,desktop,EU,6,7,15,0,0
9,9,mobile,US,1,11,2,0,0
9,9,mobile,Asia,4,8,10,0,0
9,3,desktop,US,6,12,11,0,0
9,18,mobile,Asia,7,4,15,1,0
9,11,mobile,US,7,8,10,0,0
9,2,mobile,EU,7,8,0,0,0
9,6,mobile,US,4,4,22,0,0
9,10,mobile,Asia,3,2,20,0,0
9,3,mobile,Asia,2,1,12,0,0
9,8,mobile,US,1,1,6,0,0
9,5,mobile,EU,4,1,0,0,0
9,4,tablet,US,2,8,2,0,0
9,3,desktop,US,3,6,9,0,0
9,5,mobile,EU,1,9,18,1,0
9,15,mobile,US,6,3,13,1,1
9,7,mobile,US,7,2,18,0,0
9,12,tablet,US,2,4,8,0,0
9,8,mobile,EU,5,5,22,1,0
9,10,mobile,EU,2,12,12,0,0
9,2,desktop,EU,2,8,12,0,0
9,16,mobile,US,1,6,10,1,0
9,19,mobile,EU,2,8,2,1,1
9,9,mobile,Asia,7,7,16,0,0
9,17,desktop,US,4,2,20,1,0
9,9,mobile,US,2,3,17,0,0
9,19,mobile,Asia,6,11,2,1,1
9,8,mobile,US,4,2,14,0,0
9,2,mobile,EU,6,3,3,1,0
9,1,mobile,Asia,5,9,23,0,0
9,12,mobile,EU,3,12,3,0,0
9,1,mobile,US,5,2,8,0,0
10,19,mobile,US,5,6,1,0,0
10,19,mobile,US,7,2,18,0,0
10,4,mobile,EU,1,1,7,1,0
10,5,mobile,Asia,1,9,22,0,0
10,14,mobile,US,6,6,8,0,0
10,19,mobile,EU,1,3,7,0,0
10,2,tablet,US,4,5,9,0,0
10,18,mobile,US,3,10,9,0,0
10,8,mobile,EU,4,4,23,0,0
10,8,mobile,Asia,1,4,17,0,0
10,1,tablet,US,6,7,23,0,0
10,4,mobile,Asia,4,8,1,0,0
10,5,desktop,US,2,9,13,0,0
10,12,mobile,EU,5,2,16,0,0
10,13,mobile,EU,4,11,4,0,0
10,9,desktop,Asia,4,12,23,0,0
10,15,mobile,US,2,3,18,0,0
10,4,mobile,US,4,2,17,0,0
10,7,mobile,US,7,2,2,0,0
10,10,desktop,EU,1,4,10,0,0
10,8,tablet,US,1,11,9,0,0
10,6,mobile,US,4,9,23,0,0
10,4,mobile,Asia,2,2,0,0,0
10,8,mobile,Asia,3,11,20,0,0
10,3,mobile,US,7,2,0,0,0
10,7,tablet,US,2,2,10,0,0
10,15,mobile,Asia,4,12,12,0,0
10,13,mobile,US,2,3,8,0,0
10,5,mobile,EU,2,11,9,0,0
10,18,mobile,US,4,3,13,0,0
10,17,mobile,Asia,5,1,12,0,0
10,12,mobile,EU,3,10,16,0,0
10,9,mobile,US,2,1,8,1,0
10,17,mobile,EU,2,3,3,0,0
10,8,mobile,Asia,6,1,7,0,0
10,13,mobile,Asia,7,3,5,0,0
10,11,desktop,EU,5,1,22,0,0
10,19,mobile,EU,2,8,17,0,0
10,16,mobile,US,5,4,0,0,0
10,1,mobile,EU,7,3,10,0,0
10,11,mobile,US,6,3,3,0,0
10,12,tablet,US,6,7,18,1,0
10,5,tablet,EU,4,11,15,0,0
10,6,desktop,EU,5,6,7,0,0
10,6,mobile,EU,3,3,5,0,0
10,19,mobile,Asia,5,1,5,0,0
10,20,mobile,EU,4,3,10,0,0
10,8,mobile,US,6,2,22,0,0
10,11,mobile,US,2,12,2,0,0
10,4,desktop,US,4,12,13,0,0
